Date : 2024/09/17 16:56:08
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
L�gende : 
	Niveau de r�f�rence : 0
	Niveau courant : 3
	Param�tres Q4 : 
		Taille d'un �l�ment : 64
		Nombre maximum d'it�rations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Op�rateur : 
	Lieu : 
	Date : 
	Distance Cam�ras : 
	Angle cam�ras : 
	Distance du Capteur � l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1346.00	537.00	2.48	17.98	1.26	0.47	-0.07	0.17	
1409.00	537.00	5.00	17.94	0.51	0.48	-0.09	0.19	
1472.00	537.00	7.50	17.94	0.66	0.49	-0.11	0.19	
1535.00	537.00	10.10	17.89	-0.76	0.49	-0.13	0.18	
1598.00	537.00	12.73	17.82	-1.89	0.50	-0.14	0.18	
1661.00	537.00	15.46	17.72	-3.61	0.49	-0.16	0.17	
1724.00	537.00	18.29	17.60	-5.72	0.49	-0.17	0.15	
1787.00	537.00	21.37	17.41	-9.06	0.46	-0.16	0.12	
905.00	600.00	-15.89	14.76	-7.88	0.44	0.27	0.05	
968.00	600.00	-13.14	14.85	-6.59	0.43	0.22	0.06	
1031.00	600.00	-10.33	15.08	-3.73	0.43	0.15	0.09	
1094.00	600.00	-7.67	15.15	-2.16	0.41	0.10	0.06	
1157.00	600.00	-5.05	15.38	0.13	0.44	0.04	0.11	
1220.00	600.00	-2.51	15.49	1.58	0.45	-0.01	0.12	
1283.00	600.00	-0.02	15.57	2.23	0.44	-0.05	0.12	
1346.00	600.00	2.48	15.50	1.59	0.44	-0.07	0.13	
1409.00	600.00	4.99	15.46	1.14	0.46	-0.09	0.16	
1472.00	600.00	7.48	15.49	1.32	0.46	-0.11	0.16	
1535.00	600.00	10.06	15.42	0.32	0.46	-0.13	0.16	
1598.00	600.00	12.67	15.33	-0.80	0.47	-0.15	0.15	
1661.00	600.00	15.38	15.24	-2.42	0.47	-0.16	0.14	
1724.00	600.00	18.26	15.04	-5.02	0.47	-0.17	0.13	
1787.00	600.00	21.29	14.81	-8.05	0.45	-0.17	0.10	
