Date : 2024/09/17 16:56:07
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 2
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1598.00	600.00	12.67	15.33	-0.80	0.91	-0.15	0.15	
1661.00	600.00	15.38	15.24	-2.42	0.90	-0.18	0.11	
1724.00	600.00	18.26	15.04	-5.02	0.87	-0.21	0.08	
1787.00	600.00	21.29	14.81	-8.05	0.83	-0.22	0.03	
968.00	663.00	-13.01	12.42	-4.61	0.80	0.34	0.23	
1031.00	663.00	-10.26	12.64	-2.29	0.81	0.30	0.26	
1094.00	663.00	-7.61	12.65	-0.48	0.82	0.23	0.25	
1157.00	663.00	-5.03	12.96	1.22	0.86	0.16	0.26	
1220.00	663.00	-2.51	13.11	2.37	0.87	0.10	0.24	
1283.00	663.00	-0.02	13.09	2.35	0.87	0.04	0.20	
1346.00	663.00	2.48	13.01	1.77	0.87	0.00	0.19	
1409.00	663.00	5.00	12.97	1.40	0.88	-0.04	0.18	
1472.00	663.00	7.50	12.97	1.37	0.87	-0.08	0.15	
1535.00	663.00	10.07	12.92	0.59	0.87	-0.12	0.12	
1598.00	663.00	12.67	12.85	-0.36	0.86	-0.16	0.10	
1661.00	663.00	15.37	12.70	-1.90	0.85	-0.19	0.07	
1724.00	663.00	18.28	12.43	-4.79	0.82	-0.20	0.03	
1787.00	663.00	21.27	12.20	-7.51	0.80	-0.22	0.01	
1850.00	663.00	24.40	11.92	-10.51	0.79	-0.22	0.03	
968.00	726.00	-12.91	9.99	-2.87	0.75	0.33	0.21	
1031.00	726.00	-10.15	10.27	-0.13	0.75	0.30	0.24	
1094.00	726.00	-7.55	10.46	1.31	0.78	0.25	0.29	
1157.00	726.00	-5.02	10.50	1.79	0.83	0.16	0.25	
1220.00	726.00	-2.51	10.61	2.51	0.83	0.10	0.20	
1283.00	726.00	-0.01	10.55	2.16	0.83	0.05	0.17	
1346.00	726.00	2.50	10.45	1.46	0.83	0.00	0.16	
1409.00	726.00	5.01	10.46	1.53	0.83	-0.04	0.14	
1472.00	726.00	7.53	10.44	1.29	0.83	-0.08	0.11	
1535.00	726.00	10.09	10.39	0.61	0.82	-0.12	0.08	
