Date : 2024/09/17 16:56:06
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 1
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1661.00	285.00	15.89	27.94	-9.42	1.04	-0.11	0.02	
1724.00	285.00	18.83	27.97	-11.89	1.02	-0.12	0.00	
1787.00	285.00	21.89	28.00	-14.62	0.99	-0.13	-0.03	
905.00	348.00	-16.12	25.22	-11.98	0.96	0.27	0.17	
968.00	348.00	-13.24	25.22	-9.50	0.97	0.24	0.20	
1031.00	348.00	-10.49	25.21	-8.06	0.98	0.20	0.18	
1094.00	348.00	-7.79	25.21	-6.40	0.98	0.16	0.14	
1157.00	348.00	-5.14	25.23	-4.64	1.01	0.12	0.16	
1220.00	348.00	-2.55	25.32	-3.04	1.04	0.07	0.16	
1283.00	348.00	-0.01	25.32	-2.44	1.03	0.03	0.11	
1346.00	348.00	2.53	25.32	-2.54	1.04	0.00	0.11	
1409.00	348.00	5.08	25.32	-2.73	1.04	-0.03	0.08	
1472.00	348.00	7.60	25.35	-2.39	1.04	-0.05	0.07	
1535.00	348.00	10.26	25.33	-4.23	1.03	-0.08	0.04	
1598.00	348.00	12.96	25.35	-5.73	1.03	-0.10	0.03	
1661.00	348.00	15.73	25.35	-7.48	1.02	-0.12	0.02	
1724.00	348.00	18.68	25.32	-10.15	1.00	-0.13	-0.02	
1787.00	348.00	21.76	25.30	-13.18	0.96	-0.14	-0.08	
842.00	411.00	-18.76	22.55	-10.99	0.90	0.32	0.15	
905.00	411.00	-16.14	22.50	-11.72	0.94	0.28	0.16	
968.00	411.00	-13.29	22.55	-9.78	0.95	0.24	0.16	
1031.00	411.00	-10.52	22.60	-8.07	0.96	0.19	0.12	
1094.00	411.00	-7.79	22.66	-5.97	0.98	0.15	0.12	
1157.00	411.00	-5.12	22.74	-3.62	1.00	0.11	0.13	
1220.00	411.00	-2.54	22.81	-1.92	1.01	0.07	0.12	
1283.00	411.00	-0.01	22.85	-1.14	1.02	0.03	0.10	
1346.00	411.00	2.52	22.86	-1.38	1.02	-0.00	0.08	
1409.00	411.00	5.05	22.84	-1.71	1.02	-0.03	0.05	
1472.00	411.00	7.57	22.85	-1.43	1.02	-0.05	0.05	
1535.00	411.00	10.22	22.80	-3.21	1.01	-0.08	0.01	
1598.00	411.00	12.91	22.81	-4.70	1.00	-0.10	-0.01	
1661.00	411.00	15.63	22.81	-6.10	1.00	-0.12	-0.03	
1724.00	411.00	18.54	22.72	-8.62	1.00	-0.14	-0.01	
1787.00	411.00	21.62	22.63	-11.76	0.94	-0.15	-0.11	
842.00	474.00	-18.76	19.89	-10.61	0.90	0.33	0.13	
